playlist_name,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,popularity,speechiness,tempo,valence,explicit,mode,followers,num_tracks,track_feat,track_remast,track_remix,album_feat,album_deluxe,album_best,time_sign_0.0,time_sign_3.0,time_sign_4.0,key_0.0,key_1.0,key_2.0,key_3.0,key_4.0,key_5.0,key_6.0,key_7.0,key_8.0,key_9.0,key_10.0,key_11.0
59th GRAMMY Awards,0.20330748157894732,0.6039605263157893,243345.19736842104,0.6163947368421052,0.029472262631578955,0.18962236842105262,-6.766157894736842,63.06578947368421,0.1068934210526316,116.1483157894737,0.4606684210526316,0,1.0,120329,76,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
60's Party,0.41847500000000004,0.6156999999999999,165638.05,0.6612000000000001,0.037808350000000004,0.19184500000000004,-6.7703500000000005,33.85,0.045950000000000005,120.72784999999999,0.7853000000000001,0,1.0,489,20,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
60s Pop Drive Time,0.6391428571428571,0.5542380952380951,169990.2857142857,0.4409523809523809,0.005061828095238095,0.17910000000000004,-10.076,41.23809523809524,0.04208571428571428,112.17476190476188,0.6184761904761904,0,1.0,249,21,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
70 After 70: Creativity & Longevity,0.9409428571428572,0.2328328571428572,484382.3,0.081741,0.5662420877142859,0.13649142857142862,-25.025571428571418,10.428571428571429,0.046450000000000005,100.98411428571428,0.09916142857142858,0,1.0,1659,70,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
70s Road Trip,0.25537161428571425,0.5483428571428574,244590.44285714286,0.6461285714285714,0.03583797057142859,0.19383,-9.9553,38.385714285714286,0.05058999999999998,124.73224285714288,0.6858428571428572,0,1.0,1235,70,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
80's Hard Rock,0.048036391891891905,0.4751351351351351,251918.2972972973,0.8709729729729727,0.007564802702702702,0.20576216216216214,-6.383837837837837,49.32432432432432,0.06947297297297299,133.24929729729726,0.547297297297297,0,1.0,592575,37,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
80's Jam Session,0.12981739999999994,0.7732599999999998,298839.24,0.6749799999999999,0.030405521799999998,0.12551999999999996,-9.613420000000001,48.3,0.069466,112.45202,0.8160600000000001,0,1.0,171010,50,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
80s Sophisti Pop,0.1853569825,0.681625,253620.65,0.6880299999999999,0.014550551749999998,0.16102250000000004,-10.170575,28.975,0.04217749999999999,115.16965,0.76712,0,1.0,44602,40,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
88 Keys,0.9744204545454547,0.3641590909090909,224654.3409090909,0.1052065909090909,0.8988465909090911,0.13117613636363631,-23.092306818181825,43.375,0.055019318181818155,110.73195454545454,0.15163977272727275,0,1.0,220736,88,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
90's Baby Makers,0.29820729166666665,0.662375,308118.1458333333,0.47524999999999995,0.012889653124999999,0.16070000000000004,-9.698333333333332,49.583333333333336,0.054604166666666655,119.0752708333333,0.5086041666666666,0,0.0,563118,48,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
90's Boy Bands,0.12103027027027029,0.6487297297297295,244913.72972972973,0.7350000000000001,0.0021197578378378376,0.17250000000000007,-7.231135135135136,40.0,0.05148378378378379,119.30099999999997,0.6501081081081082,0,1.0,1143,37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
90s Rock Renaissance,0.0573533196,0.45919,256504.13,0.7477999999999999,0.0675125353,0.17553999999999997,-7.406509999999998,56.58,0.054008999999999995,123.34518999999996,0.5118680000000001,0,1.0,716072,100,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A Bite Out Of The Afternoon,0.2473213043478261,0.6364347826086957,241986.1739130435,0.5389565217391304,3.233043478260869e-05,0.17070434782608696,-7.299956521739128,59.56521739130435,0.16407826086956523,110.20708695652174,0.4152521739130434,1,0.0,209,23,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
